period,province,district,data_type,count
2018-01-01,Luapula,Lunga,Confirmed,1324
2018-01-01,Luapula,Lunga,Tested,2726
2018-01-01,Luapula,Mansa,Clinical,4959
2018-01-01,Luapula,Mansa,Confirmed,13165
2018-01-01,Luapula,Mansa,Tested,17053
2018-01-01,Luapula,Milenge,Clinical,94
2018-01-01,Luapula,Milenge,Confirmed,4729
2018-01-01,Luapula,Milenge,Tested,5518
2018-01-01,Luapula,Mwansabombwe,Clinical,33
2018-01-01,Luapula,Mwansabombwe,Confirmed,1258
2018-01-01,Luapula,Mwansabombwe,Tested,1651
2018-01-01,Luapula,Mwense,Clinical,9
2018-01-01,Luapula,Mwense,Confirmed,4176
2018-01-01,Luapula,Mwense,Tested,9161
2018-01-01,Luapula,Nchelenge,Clinical,19
2018-01-01,Luapula,Nchelenge,Confirmed,3916
2018-01-01,Luapula,Nchelenge,Tested,9269
2018-01-01,Luapula,Samfya,Clinical,749
2018-01-01,Luapula,Samfya,Confirmed,5498
2018-01-01,Luapula,Samfya,Tested,11341
2018-01-01,Lusaka,Chilanga,Clinical,66
2018-01-01,Lusaka,Chilanga,Confirmed,150
2018-01-01,Lusaka,Chilanga,Tested,1755
2018-01-01,Lusaka,Chirundu,Confirmed,197
2018-01-01,Lusaka,Chirundu,Confirmed_Passive_CHW,55
2018-01-01,Lusaka,Chirundu,Tested,1426
2018-01-01,Lusaka,Chirundu,Tested_Passive_CHW,403
2018-01-01,Lusaka,Chongwe,Clinical,8
2018-01-01,Lusaka,Chongwe,Confirmed,423
2018-01-01,Lusaka,Chongwe,Tested,4222
2018-01-01,Lusaka,Kafue,Clinical,111
2018-01-01,Lusaka,Kafue,Confirmed,288
2018-01-01,Lusaka,Kafue,Confirmed_Passive_CHW,48
2018-01-01,Lusaka,Kafue,Tested,2718
2018-01-01,Lusaka,Kafue,Tested_Passive_CHW,174
2018-01-01,Lusaka,Luangwa,Clinical,137
2018-01-01,Lusaka,Luangwa,Confirmed,770
2018-01-01,Lusaka,Luangwa,Tested,3253
2018-01-01,Lusaka,Lusaka,Clinical,475
2018-01-01,Lusaka,Lusaka,Confirmed,1239
2018-01-01,Lusaka,Lusaka,Tested,11369
2018-01-01,Lusaka,Rufunsa,Clinical,50
2018-01-01,Lusaka,Rufunsa,Confirmed,2885
2018-01-01,Lusaka,Rufunsa,Tested,6585
2018-01-01,Muchinga,Chama,Clinical,252
2018-01-01,Muchinga,Chama,Confirmed,5971
2018-01-01,Muchinga,Chama,Tested,9972
2018-01-01,Muchinga,Chinsali,Clinical,36
2018-01-01,Muchinga,Chinsali,Confirmed,5060
2018-01-01,Muchinga,Chinsali,Tested,6896
2018-01-01,Muchinga,Isoka,Clinical,1
2018-01-01,Muchinga,Isoka,Confirmed,4324
2018-01-01,Muchinga,Isoka,Tested,10367
2018-01-01,Muchinga,Kanchibiya,Clinical,153
2018-01-01,Muchinga,Kanchibiya,Confirmed,5203
2018-01-01,Muchinga,Kanchibiya,Tested,8495
2018-01-01,Muchinga,Lavushimanda,Clinical,118
2018-01-01,Muchinga,Lavushimanda,Confirmed,3025
2018-01-01,Muchinga,Lavushimanda,Tested,3540
2018-01-01,Muchinga,Mafinga,Clinical,5
2018-01-01,Muchinga,Mafinga,Confirmed,4466
2018-01-01,Muchinga,Mafinga,Tested,5357
2018-01-01,Muchinga,Mpika,Clinical,162
2018-01-01,Muchinga,Mpika,Confirmed,6612
2018-01-01,Muchinga,Mpika,Tested,9883
2018-01-01,Muchinga,Nakonde,Confirmed,1415
2018-01-01,Muchinga,Nakonde,Tested,3716
2018-01-01,Muchinga,Shiwang'andu,Clinical,10
2018-01-01,Muchinga,Shiwang'andu,Confirmed,4453
2018-01-01,Muchinga,Shiwang'andu,Tested,6894
2018-01-01,Northern,Chilubi,Clinical,50
2018-01-01,Northern,Chilubi,Confirmed,2933
2018-01-01,Northern,Chilubi,Tested,3120
2018-01-01,Northern,Kaputa,Confirmed,1741
2018-01-01,Northern,Kaputa,Tested,284
2018-01-01,Northern,Kasama,Clinical,181
2018-01-01,Northern,Kasama,Confirmed,15980
2018-01-01,Northern,Kasama,Tested,12191
2018-01-01,Northern,Lunte,Confirmed,2159
2018-01-01,Northern,Lunte,Tested,947
2018-01-01,Northern,Lupososhi,Clinical,6
2018-01-01,Northern,Lupososhi,Confirmed,1843
2018-01-01,Northern,Lupososhi,Tested,2826
2018-01-01,Northern,Luwingu,Clinical,113
2018-01-01,Northern,Luwingu,Confirmed,3499
2018-01-01,Northern,Luwingu,Tested,5933
2018-01-01,Northern,Mbala,Clinical,3
2018-01-01,Northern,Mbala,Confirmed,3729
2018-01-01,Northern,Mbala,Tested,5206
2018-01-01,Northern,Mporokoso,Clinical,22
2018-01-01,Northern,Mporokoso,Confirmed,1180
2018-01-01,Northern,Mporokoso,Tested,3012
2018-01-01,Northern,Mpulungu,Clinical,12
2018-01-01,Northern,Mpulungu,Confirmed,3894
2018-01-01,Northern,Mpulungu,Tested,4141
2018-01-01,Northern,Mungwi,Clinical,443
2018-01-01,Northern,Mungwi,Confirmed,7744
2018-01-01,Northern,Mungwi,Tested,10600
2018-01-01,Northern,Nsama,Clinical,15
2018-01-01,Northern,Nsama,Confirmed,956
2018-01-01,Northern,Nsama,Tested,1778
2018-01-01,Northern,Senga,Confirmed,6134
2018-01-01,Northwestern,Chavuma,Clinical,87
2018-01-01,Northwestern,Chavuma,Confirmed,3414
2018-01-01,Northwestern,Chavuma,Tested,1011
2018-01-01,Northwestern,Ikelenge,Clinical,2
2018-01-01,Northwestern,Ikelenge,Confirmed,5281
2018-01-01,Northwestern,Ikelenge,Tested,6105
2018-01-01,Northwestern,Kabompo,Clinical,65
2018-01-01,Northwestern,Kabompo,Confirmed,5905
2018-01-01,Northwestern,Kabompo,Tested,11399
2018-01-01,Northwestern,Kalumbila,Clinical,1089
