period,province,district,Clinical,Confirmed,Tested,Confirmed_Passive_CHW,Tested_Passive_CHW
2018-11-01,Western,Kaoma,4,1955,7473,1506,3776
2018-11-01,Western,Limulunga,13,528,2269,NA,NA
2018-11-01,Western,Luampa,6,357,2707,282,830
2018-11-01,Western,Lukulu,891,1863,7121,0,0
2018-11-01,Western,Mitete,NA,1302,3036,320,715
2018-11-01,Western,Mongu,45,1516,7326,NA,NA
2018-11-01,Western,Mulobezi,7,259,963,71,1076
2018-11-01,Western,Mwandi,NA,10,269,2,234
2018-11-01,Western,Nalolo,2,153,1958,289,1343
2018-11-01,Western,Nkeyema,79,346,2698,389,1191
2018-11-01,Western,Senanga,NA,430,3788,955,2554
2018-11-01,Western,Sesheke,NA,217,1196,39,678
2018-11-01,Western,Shang'ombo,NA,52,689,137,1843
2018-11-01,Western,Sikongo,NA,223,1968,365,1094
2018-11-01,Western,Sioma,NA,120,2769,99,619
2018-11-01,NA,NA,NA,NA,NA,3,40
2018-12-01,Central,Chibombo,NA,1976,5795,NA,NA
2018-12-01,Central,Chisamba,NA,565,3208,NA,NA
2018-12-01,Central,Chitambo,385,5530,7392,NA,NA
2018-12-01,Central,Itezhi-tezhi,NA,379,2525,212,944
2018-12-01,Central,Kabwe,74,1126,7857,NA,NA
2018-12-01,Central,Kapiri-Mposhi,67,5360,17075,259,669
2018-12-01,Central,Luano,NA,1329,2958,NA,NA
2018-12-01,Central,Mkushi,299,8608,15257,NA,NA
2018-12-01,Central,Mumbwa,20,654,2754,795,3027
2018-12-01,Central,Ngabwe,NA,413,1671,NA,NA
2018-12-01,Central,Serenje,NA,8006,12395,NA,NA
2018-12-01,Central,Shibuyunji,NA,25,362,1,41
2018-12-01,Copperbelt,Chililabombwe,19,6250,30528,NA,NA
2018-12-01,Copperbelt,Chingola,86,10931,15152,NA,NA
2018-12-01,Copperbelt,Kalulushi,1,8127,15969,NA,NA
2018-12-01,Copperbelt,Kitwe,767,15502,35049,NA,NA
2018-12-01,Copperbelt,Luanshya,114,8777,15517,NA,NA
2018-12-01,Copperbelt,Lufwanyama,NA,12319,16735,3165,4711
2018-12-01,Copperbelt,Masaiti,9,9425,14841,440,599
2018-12-01,Copperbelt,Mpongwe,170,4040,8520,281,626
2018-12-01,Copperbelt,Mufulira,911,5708,1683,NA,NA
2018-12-01,Copperbelt,Ndola,375,9352,25940,NA,NA
2018-12-01,Eastern,Chadiza,51,1798,6050,NA,NA
2018-12-01,Eastern,Chasefu,2,1337,4757,NA,NA
2018-12-01,Eastern,Chipangali,1,2518,11866,NA,NA
2018-12-01,Eastern,Chipata,NA,2880,13345,NA,NA
2018-12-01,Eastern,Kasenengwa,NA,821,4307,NA,NA
2018-12-01,Eastern,Katete,89,668,6250,0,0
2018-12-01,Eastern,Lumezi,302,2713,7290,NA,NA
2018-12-01,Eastern,Lundazi,1,2198,8245,NA,NA
2018-12-01,Eastern,Lusangazi,NA,865,2918,NA,NA
2018-12-01,Eastern,Mambwe,42,2447,7098,NA,NA
2018-12-01,Eastern,Nyimba,NA,1017,4427,450,1551
2018-12-01,Eastern,Petauke,64,1563,9949,182,1593
2018-12-01,Eastern,Sinda,NA,317,4172,0,0
2018-12-01,Eastern,Vubwi,NA,2565,5888,NA,NA
2018-12-01,Luapula,Chembe,NA,3551,6345,NA,NA
2018-12-01,Luapula,Chienge,388,5353,7591,NA,NA
2018-12-01,Luapula,Chifunabuli,NA,5927,7414,NA,NA
2018-12-01,Luapula,Chipili,2,2717,4664,NA,NA
2018-12-01,Luapula,Kawambwa,NA,4235,8537,NA,NA
2018-12-01,Luapula,Lunga,NA,1415,1922,NA,NA
2018-12-01,Luapula,Mansa,740,20515,29242,NA,NA
2018-12-01,Luapula,Milenge,1,4288,6355,NA,NA
2018-12-01,Luapula,Mwansabombwe,NA,2586,3984,NA,NA
2018-12-01,Luapula,Mwense,7,7113,11288,NA,NA
2018-12-01,Luapula,Nchelenge,2,4431,8053,2741,3848
2018-12-01,Luapula,Samfya,NA,6923,10185,NA,NA
2018-12-01,Lusaka,Chilanga,136,143,2088,NA,NA
2018-12-01,Lusaka,Chirundu,NA,24,1770,18,312
2018-12-01,Lusaka,Chongwe,93,186,3289,NA,NA
2018-12-01,Lusaka,Kafue,19,127,1988,26,167
2018-12-01,Lusaka,Luangwa,53,240,2269,NA,NA
2018-12-01,Lusaka,Lusaka,1239,953,16388,NA,NA
2018-12-01,Lusaka,Rufunsa,5,1104,4581,NA,NA
2018-12-01,Muchinga,Chama,NA,2419,7127,0,0
2018-12-01,Muchinga,Chinsali,18,6755,9043,NA,NA
2018-12-01,Muchinga,Isoka,NA,4515,7860,NA,NA
2018-12-01,Muchinga,Kanchibiya,246,4986,7085,NA,NA
2018-12-01,Muchinga,Lavushimanda,NA,2321,3096,NA,NA
2018-12-01,Muchinga,Mafinga,NA,5455,7439,NA,NA
2018-12-01,Muchinga,Mpika,8,5607,11037,1242,1777
2018-12-01,Muchinga,Nakonde,2,2120,5819,NA,NA
2018-12-01,Muchinga,Shiwang'andu,NA,5480,7967,NA,NA
2018-12-01,Northern,Chilubi,65,4658,5868,NA,NA
2018-12-01,Northern,Kaputa,3,3181,2242,NA,NA
2018-12-01,Northern,Kasama,1,15946,25540,NA,NA
2018-12-01,Northern,Lunte,NA,3346,5108,NA,NA
2018-12-01,Northern,Lupososhi,8,2301,2956,NA,NA
2018-12-01,Northern,Luwingu,1,6657,8838,NA,NA
2018-12-01,Northern,Mbala,5,4468,7855,501,1038
2018-12-01,Northern,Mporokoso,NA,2476,3021,NA,NA
2018-12-01,Northern,Mpulungu,NA,4372,6824,NA,NA
2018-12-01,Northern,Mungwi,NA,9497,13803,NA,NA
2018-12-01,Northern,Nsama,NA,2072,3289,NA,NA
2018-12-01,Northern,Senga,32,5776,8809,NA,NA
2018-12-01,Northwestern,Chavuma,1,3332,4399,NA,NA
2018-12-01,Northwestern,Ikelenge,NA,1883,5140,NA,NA
2018-12-01,Northwestern,Kabompo,NA,2559,5491,NA,NA
2018-12-01,Northwestern,Kalumbila,737,15409,21610,NA,NA
2018-12-01,Northwestern,Kasempa,4,7033,12212,522,821
2018-12-01,Northwestern,Manyinga,2,4491,7198,NA,NA
2018-12-01,Northwestern,Mufumbwe,1,4624,7650,NA,NA
2018-12-01,Northwestern,Mushindamo,NA,4992,6673,NA,NA
2018-12-01,Northwestern,Mwinilunga,8,8484,9552,NA,NA
2018-12-01,Northwestern,Solwezi,NA,18102,33203,NA,NA
2018-12-01,Northwestern,Zambezi,21,5573,10148,NA,NA
2018-12-01,Southern,Chikankata,NA,24,1368,22,352
2018-12-01,Southern,Choma,11,178,2093,124,1464
2018-12-01,Southern,Gwembe,NA,71,1059,101,1001
2018-12-01,Southern,Kalomo,NA,95,1771,36,1768
2018-12-01,Southern,Kazungula,NA,33,858,25,1107
2018-12-01,Southern,Livingstone,31,60,935,1,388
2018-12-01,Southern,Mazabuka,4,51,1339,7,621
2018-12-01,Southern,Monze,NA,42,1305,13,548
2018-12-01,Southern,Namwala,NA,30,669,7,783
2018-12-01,Southern,Pemba,NA,126,1049,115,752
2018-12-01,Southern,Siavonga,12,16,827,2,270
2018-12-01,Southern,Sinazongwe,50,482,2914,302,1585
2018-12-01,Southern,Zimba,NA,29,1253,43,839
2018-12-01,Western,Kalabo,33,1315,6250,1475,3378
2018-12-01,Western,Kaoma,51,3872,12525,2712,4386
2018-12-01,Western,Limulunga,66,1007,3206,NA,NA
2018-12-01,Western,Luampa,NA,722,3338,753,1518
2018-12-01,Western,Lukulu,125,3727,8675,0,0
2018-12-01,Western,Mitete,NA,793,2111,643,1273
2018-12-01,Western,Mongu,127,2622,9738,NA,NA
2018-12-01,Western,Mulobezi,NA,240,588,97,1111
2018-12-01,Western,Mwandi,1,11,228,3,293
2018-12-01,Western,Nalolo,NA,257,2477,346,1372
2018-12-01,Western,Nkeyema,33,531,3096,671,1636
2018-12-01,Western,Senanga,2,905,4824,1178,3079
2018-12-01,Western,Sesheke,7,44,948,53,600
2018-12-01,Western,Shang'ombo,NA,39,693,168,1954
2018-12-01,Western,Sikongo,1,380,1302,229,780
2018-12-01,Western,Sioma,1,197,3753,64,647
2018-12-01,NA,NA,NA,NA,NA,6,34
2019-01-01,Central,Chibombo,344,3678,8056,NA,NA
2019-01-01,Central,Chisamba,NA,2287,6923,NA,NA
2019-01-01,Central,Chitambo,2,7274,8258,NA,NA
2019-01-01,Central,Itezhi-tezhi,6,827,2588,410,1709
2019-01-01,Central,Kabwe,139,2074,10572,NA,NA
2019-01-01,Central,Kapiri-Mposhi,72,14983,26789,868,1590
2019-01-01,Central,Luano,NA,3738,7482,NA,NA
2019-01-01,Central,Mkushi,1,14524,23820,NA,NA
2019-01-01,Central,Mumbwa,1,1769,926,1995,5741
2019-01-01,Central,Ngabwe,NA,658,2298,NA,NA
2019-01-01,Central,Serenje,6,11654,12669,NA,NA
2019-01-01,Central,Shibuyunji,NA,85,861,5,140
2019-01-01,Copperbelt,Chililabombwe,31,5908,13074,NA,NA
2019-01-01,Copperbelt,Chingola,152,14304,20606,NA,NA
2019-01-01,Copperbelt,Kalulushi,25,9453,17260,NA,NA
2019-01-01,Copperbelt,Kitwe,2196,21686,44049,NA,NA
2019-01-01,Copperbelt,Luanshya,12,17857,28646,NA,NA
2019-01-01,Copperbelt,Lufwanyama,NA,16743,22835,9508,13042
2019-01-01,Copperbelt,Masaiti,NA,14967,17529,907,1285
2019-01-01,Copperbelt,Mpongwe,1467,9516,16917,831,1503
2019-01-01,Copperbelt,Mufulira,104,8404,9481,NA,NA
2019-01-01,Copperbelt,Ndola,1032,15585,30943,NA,NA
2019-01-01,Eastern,Chadiza,NA,5369,12245,NA,NA
2019-01-01,Eastern,Chasefu,39,2433,8426,NA,NA
2019-01-01,Eastern,Chipangali,7,7824,22051,NA,NA
2019-01-01,Eastern,Chipata,1,5212,22332,NA,NA
2019-01-01,Eastern,Kasenengwa,NA,2134,7629,NA,NA
2019-01-01,Eastern,Katete,NA,2858,13051,15,185
2019-01-01,Eastern,Lumezi,801,6139,13596,NA,NA
2019-01-01,Eastern,Lundazi,427,5134,15668,NA,NA
2019-01-01,Eastern,Lusangazi,NA,2521,6554,NA,NA
2019-01-01,Eastern,Mambwe,119,6128,13431,6,8
2019-01-01,Eastern,Nyimba,NA,3148,9523,3062,7443
2019-01-01,Eastern,Petauke,7,4958,19684,932,4825
2019-01-01,Eastern,Sinda,NA,1598,9854,0,0
2019-01-01,Eastern,Vubwi,NA,3916,7793,NA,NA
2019-01-01,Luapula,Chembe,NA,3620,5472,NA,NA
2019-01-01,Luapula,Chienge,47,5035,9576,NA,NA
2019-01-01,Luapula,Chifunabuli,NA,4391,8050,NA,NA
2019-01-01,Luapula,Chipili,1,2054,3862,NA,NA
2019-01-01,Luapula,Kawambwa,8,4915,9401,NA,NA
2019-01-01,Luapula,Lunga,NA,1377,1994,NA,NA
2019-01-01,Luapula,Mansa,958,20891,29714,NA,NA
2019-01-01,Luapula,Milenge,113,4481,6249,NA,NA
2019-01-01,Luapula,Mwansabombwe,NA,1789,2505,NA,NA
2019-01-01,Luapula,Mwense,NA,5177,9309,NA,NA
2019-01-01,Luapula,Nchelenge,NA,3704,12997,1724,2863
2019-01-01,Luapula,Samfya,NA,5790,11210,NA,NA
2019-01-01,Lusaka,Chilanga,62,206,2188,NA,NA
2019-01-01,Lusaka,Chirundu,NA,53,1458,33,395
2019-01-01,Lusaka,Chongwe,93,757,6195,NA,NA
2019-01-01,Lusaka,Kafue,26,335,3133,36,194
2019-01-01,Lusaka,Luangwa,11,841,3633,NA,NA
2019-01-01,Lusaka,Lusaka,734,1175,15565,NA,NA
2019-01-01,Lusaka,Rufunsa,48,3686,9425,NA,NA
2019-01-01,Muchinga,Chama,NA,5417,12211,NA,NA
2019-01-01,Muchinga,Chinsali,129,6185,12143,NA,NA
2019-01-01,Muchinga,Isoka,31,4519,7323,NA,NA
2019-01-01,Muchinga,Kanchibiya,1619,4358,6507,NA,NA
2019-01-01,Muchinga,Lavushimanda,NA,2994,4337,NA,NA
2019-01-01,Muchinga,Mafinga,NA,4320,7701,NA,NA
2019-01-01,Muchinga,Mpika,116,7482,12799,1892,2687
2019-01-01,Muchinga,Nakonde,15,2562,6720,NA,NA
2019-01-01,Muchinga,Shiwang'andu,NA,4795,7890,NA,NA
2019-01-01,Northern,Chilubi,142,3876,6440,NA,NA
2019-01-01,Northern,Kaputa,32,2217,3419,NA,NA
2019-01-01,Northern,Kasama,1,15264,25238,NA,NA
2019-01-01,Northern,Lunte,NA,3010,4145,NA,NA
2019-01-01,Northern,Lupososhi,NA,2414,4016,NA,NA
2019-01-01,Northern,Luwingu,NA,5931,9878,NA,NA
2019-01-01,Northern,Mbala,15,3540,6852,453,1035
2019-01-01,Northern,Mporokoso,NA,1639,3151,NA,NA
2019-01-01,Northern,Mpulungu,1,2810,5006,NA,NA
2019-01-01,Northern,Mungwi,9,8551,13263,NA,NA
2019-01-01,Northern,Nsama,1,1227,2581,NA,NA
2019-01-01,Northern,Senga,14,4632,8386,0,0
2019-01-01,Northwestern,Chavuma,1,4379,6086,NA,NA
2019-01-01,Northwestern,Ikelenge,NA,1889,5487,NA,NA
2019-01-01,Northwestern,Kabompo,1,4924,8489,NA,NA
2019-01-01,Northwestern,Kalumbila,2145,19649,25180,28,46
2019-01-01,Northwestern,Kasempa,40,8596,15008,1884,2895
2019-01-01,Northwestern,Manyinga,1,5542,8844,NA,NA
2019-01-01,Northwestern,Mufumbwe,2,6916,11982,350,418
2019-01-01,Northwestern,Mushindamo,37,5171,6121,4523,5538
2019-01-01,Northwestern,Mwinilunga,1374,8005,10964,NA,NA
2019-01-01,Northwestern,Solwezi,32,18068,34900,NA,NA
2019-01-01,Northwestern,Zambezi,5,8546,13326,NA,NA
2019-01-01,Southern,Chikankata,NA,115,1763,41,460
2019-01-01,Southern,Choma,NA,192,2815,152,2143
2019-01-01,Southern,Gwembe,NA,119,1347,142,715
2019-01-01,Southern,Kalomo,NA,178,1889,88,2304
2019-01-01,Southern,Kazungula,NA,83,964,76,1222
2019-01-01,Southern,Livingstone,1,36,945,1,374
2019-01-01,Southern,Mazabuka,33,88,2162,3,806
2019-01-01,Southern,Monze,NA,95,1716,16,609
2019-01-01,Southern,Namwala,NA,40,1475,4,954
2019-01-01,Southern,Pemba,NA,137,1509,126,952
2019-01-01,Southern,Siavonga,NA,97,1014,39,302
2019-01-01,Southern,Sinazongwe,NA,1651,6094,1371,3534
2019-01-01,Southern,Zimba,NA,146,1632,78,980
2019-01-01,Western,Kalabo,9,2451,8507,2960,5320
2019-01-01,Western,Kaoma,11,6253,13047,4996,7256
2019-01-01,Western,Limulunga,53,2112,4582,NA,NA
2019-01-01,Western,Luampa,NA,2839,7931,1855,3166
2019-01-01,Western,Lukulu,NA,4926,11312,NA,NA
2019-01-01,Western,Mitete,4,1829,3969,855,1472
2019-01-01,Western,Mongu,372,6709,16581,NA,NA
2019-01-01,Western,Mulobezi,NA,390,1935,299,1888
2019-01-01,Western,Mwandi,NA,18,265,6,209
2019-01-01,Western,Nalolo,NA,609,3972,453,1642
2019-01-01,Western,Nkeyema,75,1916,5711,1219,2443
2019-01-01,Western,Senanga,3,1955,8133,2056,4635
2019-01-01,Western,Sesheke,NA,143,1284,141,914
2019-01-01,Western,Shang'ombo,NA,64,1054,200,2297
2019-01-01,Western,Sikongo,2,610,2418,479,1368
2019-01-01,Western,Sioma,2,357,4913,138,1357
2019-01-01,NA,NA,NA,NA,NA,11,73
2019-02-01,Central,Chibombo,236,3145,9298,NA,NA
2019-02-01,Central,Chisamba,NA,2803,8413,NA,NA
2019-02-01,Central,Chitambo,6,3753,6414,NA,NA
2019-02-01,Central,Itezhi-tezhi,9,543,3060,381,1814
2019-02-01,Central,Kabwe,61,2267,11533,NA,NA
2019-02-01,Central,Kapiri-Mposhi,4,11856,26568,1348,1942
2019-02-01,Central,Luano,NA,3488,6080,NA,NA
2019-02-01,Central,Mkushi,1,11979,19197,NA,NA
2019-02-01,Central,Mumbwa,11,1144,4305,1641,5744
2019-02-01,Central,Ngabwe,NA,438,1857,NA,NA
2019-02-01,Central,Serenje,2,8157,13432,NA,NA
2019-02-01,Central,Shibuyunji,NA,83,891,8,118
2019-02-01,Copperbelt,Chililabombwe,27,5759,13102,NA,NA
2019-02-01,Copperbelt,Chingola,34,12554,19922,NA,NA
2019-02-01,Copperbelt,Kalulushi,29,8043,17336,NA,NA
2019-02-01,Copperbelt,Kitwe,1965,19794,39336,NA,NA
2019-02-01,Copperbelt,Luanshya,1,15142,25958,NA,NA
2019-02-01,Copperbelt,Lufwanyama,NA,14418,18951,11848,15550
2019-02-01,Copperbelt,Masaiti,NA,16507,22533,788,1077
2019-02-01,Copperbelt,Mpongwe,393,11850,20641,1225,1989
2019-02-01,Copperbelt,Mufulira,952,5469,8799,NA,NA
2019-02-01,Copperbelt,Ndola,340,13112,30936,NA,NA
2019-02-01,Eastern,Chadiza,NA,5066,16547,NA,NA
2019-02-01,Eastern,Chasefu,271,1737,8857,NA,NA
2019-02-01,Eastern,Chipangali,NA,9750,24828,NA,NA
2019-02-01,Eastern,Chipata,267,4788,24137,NA,NA
2019-02-01,Eastern,Kasenengwa,31,2886,8389,NA,NA
2019-02-01,Eastern,Katete,NA,3552,16873,18,331
2019-02-01,Eastern,Lumezi,2277,7393,14812,NA,NA
2019-02-01,Eastern,Lundazi,2524,6769,14949,NA,NA
2019-02-01,Eastern,Lusangazi,36,1565,4531,NA,NA
2019-02-01,Eastern,Mambwe,50,4961,12499,12,44
2019-02-01,Eastern,Nyimba,NA,3461,9865,3078,7088
2019-02-01,Eastern,Petauke,376,7083,21345,1060,5117
2019-02-01,Eastern,Sinda,20,1918,11687,52,125
2019-02-01,Eastern,Vubwi,NA,2429,7052,NA,NA
2019-02-01,Luapula,Chembe,NA,2927,4676,NA,NA
2019-02-01,Luapula,Chienge,125,5580,9899,NA,NA
2019-02-01,Luapula,Chifunabuli,4,3503,6875,NA,NA
2019-02-01,Luapula,Chipili,NA,1661,3503,NA,NA
2019-02-01,Luapula,Kawambwa,NA,3562,8541,NA,NA
2019-02-01,Luapula,Lunga,12,1167,1711,NA,NA
2019-02-01,Luapula,Mansa,1779,17185,26145,NA,NA
2019-02-01,Luapula,Milenge,83,2554,4796,NA,NA
2019-02-01,Luapula,Mwansabombwe,NA,976,2470,NA,NA
2019-02-01,Luapula,Mwense,NA,4316,8649,NA,NA
2019-02-01,Luapula,Nchelenge,NA,2472,8405,1324,2847
2019-02-01,Luapula,Samfya,574,5001,12640,NA,NA
2019-02-01,Lusaka,Chilanga,205,139,2847,NA,NA
2019-02-01,Lusaka,Chirundu,NA,97,2076,59,472
2019-02-01,Lusaka,Chongwe,388,993,6297,NA,NA
2019-02-01,Lusaka,Kafue,31,295,4130,45,191
2019-02-01,Lusaka,Luangwa,9,1304,4721,NA,NA
2019-02-01,Lusaka,Lusaka,1290,1157,18559,NA,NA
2019-02-01,Lusaka,Rufunsa,429,3554,10358,NA,NA
2019-02-01,Muchinga,Chama,14,5686,14745,NA,NA
2019-02-01,Muchinga,Chinsali,52,5742,11800,NA,NA
2019-02-01,Muchinga,Isoka,38,4859,8797,NA,NA
2019-02-01,Muchinga,Kanchibiya,2620,2873,3955,NA,NA
2019-02-01,Muchinga,Lavushimanda,22,2608,3738,NA,NA
2019-02-01,Muchinga,Mafinga,NA,2385,5882,NA,NA
2019-02-01,Muchinga,Mpika,17,6013,11236,3066,4407
2019-02-01,Muchinga,Nakonde,20,1637,5953,NA,NA
2019-02-01,Muchinga,Shiwang'andu,NA,3776,8151,NA,NA
2019-02-01,Northern,Chilubi,572,4035,5382,NA,NA
2019-02-01,Northern,Kaputa,NA,1923,5014,NA,NA
2019-02-01,Northern,Kasama,NA,13696,23758,NA,NA
2019-02-01,Northern,Lunte,NA,2284,3864,NA,NA
2019-02-01,Northern,Lupososhi,NA,1961,3375,NA,NA
2019-02-01,Northern,Luwingu,NA,4638,7680,NA,NA
2019-02-01,Northern,Mbala,56,3629,7282,389,947
2019-02-01,Northern,Mporokoso,NA,1119,2425,NA,NA
2019-02-01,Northern,Mpulungu,NA,1186,4808,NA,NA
2019-02-01,Northern,Mungwi,NA,7473,12824,NA,NA
2019-02-01,Northern,Nsama,NA,801,2297,NA,NA
2019-02-01,Northern,Senga,31,3840,6957,0,0
2019-02-01,Northwestern,Chavuma,15,3166,5901,NA,NA
2019-02-01,Northwestern,Ikelenge,NA,1726,6011,NA,NA
2019-02-01,Northwestern,Kabompo,NA,3538,7410,NA,NA
2019-02-01,Northwestern,Kalumbila,2077,12868,20111,15,17
2019-02-01,Northwestern,Kasempa,723,6849,12220,1418,2249
2019-02-01,Northwestern,Manyinga,NA,4885,8597,NA,NA
2019-02-01,Northwestern,Mufumbwe,NA,4986,8980,NA,NA
2019-02-01,Northwestern,Mushindamo,27,4284,6628,3601,5170
2019-02-01,Northwestern,Mwinilunga,448,7390,11464,NA,NA
2019-02-01,Northwestern,Solwezi,61,14067,28406,NA,NA
2019-02-01,Northwestern,Zambezi,128,6467,11478,NA,NA
2019-02-01,Southern,Chikankata,NA,196,2537,58,466
2019-02-01,Southern,Choma,NA,145,3398,94,1655
2019-02-01,Southern,Gwembe,NA,128,1441,209,1040
2019-02-01,Southern,Kalomo,NA,168,2643,103,2302
2019-02-01,Southern,Kazungula,1,93,880,146,1557
2019-02-01,Southern,Livingstone,NA,35,915,2,427
2019-02-01,Southern,Mazabuka,2,52,2167,4,990
2019-02-01,Southern,Monze,NA,67,2363,40,780
2019-02-01,Southern,Namwala,NA,21,1378,3,1007
2019-02-01,Southern,Pemba,NA,106,1680,91,865
2019-02-01,Southern,Siavonga,NA,106,1293,56,421
2019-02-01,Southern,Sinazongwe,95,2151,7270,1395,3862
2019-02-01,Southern,Zimba,11,133,1443,104,1071
2019-02-01,Western,Kalabo,20,2571,9838,3226,5773
2019-02-01,Western,Kaoma,203,6069,10052,4178,6478
2019-02-01,Western,Limulunga,80,1971,5826,NA,NA
2019-02-01,Western,Luampa,18,2924,9120,2119,3547
2019-02-01,Western,Lukulu,NA,6034,12681,NA,NA
2019-02-01,Western,Mitete,NA,1875,3770,591,1048
2019-02-01,Western,Mongu,142,8450,17106,NA,NA
2019-02-01,Western,Mulobezi,NA,684,2180,722,2704
2019-02-01,Western,Mwandi,NA,21,478,7,185
2019-02-01,Western,Nalolo,NA,883,3778,686,2420
2019-02-01,Western,Nkeyema,91,2347,7067,1671,3209
2019-02-01,Western,Senanga,115,2603,8827,2632,5565
2019-02-01,Western,Sesheke,NA,219,2063,245,1496
2019-02-01,Western,Shang'ombo,NA,197,1721,286,2578
2019-02-01,Western,Sikongo,NA,703,2336,560,1681
2019-02-01,Western,Sioma,NA,463,5578,234,1763
2019-02-01,NA,NA,NA,NA,NA,16,55
2019-03-01,Central,Chibombo,1,4712,11473,NA,NA
2019-03-01,Central,Chisamba,NA,4106,11414,NA,NA
2019-03-01,Central,Chitambo,NA,5491,9175,NA,NA
2019-03-01,Central,Itezhi-tezhi,NA,338,4537,400,1925
2019-03-01,Central,Kabwe,82,3848,15814,NA,NA
2019-03-01,Central,Kapiri-Mposhi,25,29066,52778,1501,2629
2019-03-01,Central,Luano,NA,5667,8684,NA,NA
2019-03-01,Central,Mkushi,NA,19092,30706,NA,NA
2019-03-01,Central,Mumbwa,NA,1526,6516,1835,5948
2019-03-01,Central,Ngabwe,NA,777,2868,NA,NA
2019-03-01,Central,Serenje,NA,12282,16578,NA,NA
2019-03-01,Central,Shibuyunji,NA,113,1313,14,136
2019-03-01,Copperbelt,Chililabombwe,16,4743,14242,NA,NA
2019-03-01,Copperbelt,Chingola,65,9560,15078,NA,NA
2019-03-01,Copperbelt,Kalulushi,34,6814,15347,NA,NA
2019-03-01,Copperbelt,Kitwe,2126,15516,37343,NA,NA
2019-03-01,Copperbelt,Luanshya,4,15344,25051,NA,NA
2019-03-01,Copperbelt,Lufwanyama,96,12707,17006,11935,15500
2019-03-01,Copperbelt,Masaiti,NA,18351,20037,2375,3137
2019-03-01,Copperbelt,Mpongwe,720,14027,19044,1878,3173
2019-03-01,Copperbelt,Mufulira,1688,3217,9793,NA,NA
2019-03-01,Copperbelt,Ndola,143,13515,36940,NA,NA
2019-03-01,Eastern,Chadiza,69,8541,18080,143,297
2019-03-01,Eastern,Chasefu,1619,3662,7869,NA,NA
2019-03-01,Eastern,Chipangali,1705,14054,26588,NA,NA
2019-03-01,Eastern,Chipata,43,8454,24906,NA,NA
2019-03-01,Eastern,Kasenengwa,520,6639,13745,NA,NA
2019-03-01,Eastern,Katete,5,6978,23368,946,2912
2019-03-01,Eastern,Lumezi,4879,11076,16793,NA,NA
2019-03-01,Eastern,Lundazi,6159,9116,14289,NA,NA
2019-03-01,Eastern,Lusangazi,259,3783,7555,NA,NA
2019-03-01,Eastern,Mambwe,82,9965,18422,NA,NA
2019-03-01,Eastern,Nyimba,NA,6815,15719,5396,10103
2019-03-01,Eastern,Petauke,137,18356,34592,3642,7523
2019-03-01,Eastern,Sinda,NA,5506,19526,34,53
2019-03-01,Eastern,Vubwi,NA,3437,7188,NA,NA
2019-03-01,Luapula,Chembe,NA,3328,5780,NA,NA
2019-03-01,Luapula,Chienge,76,5271,8524,NA,NA
2019-03-01,Luapula,Chifunabuli,409,4764,9512,NA,NA
2019-03-01,Luapula,Chipili,39,1866,4215,NA,NA
2019-03-01,Luapula,Kawambwa,NA,3970,8522,NA,NA
2019-03-01,Luapula,Lunga,NA,1320,1902,NA,NA
2019-03-01,Luapula,Mansa,1106,20966,34255,NA,NA
2019-03-01,Luapula,Milenge,51,3033,5574,NA,NA
2019-03-01,Luapula,Mwansabombwe,NA,1257,3134,NA,NA
2019-03-01,Luapula,Mwense,NA,4751,10950,NA,NA
2019-03-01,Luapula,Nchelenge,NA,2484,7985,1501,3394
2019-03-01,Luapula,Samfya,NA,6825,13288,NA,NA
2019-03-01,Lusaka,Chilanga,84,162,2465,NA,NA
2019-03-01,Lusaka,Chirundu,NA,78,1515,47,491
2019-03-01,Lusaka,Chongwe,261,1373,7360,NA,NA
2019-03-01,Lusaka,Kafue,32,272,3561,37,243
2019-03-01,Lusaka,Luangwa,5,2237,5835,NA,NA
2019-03-01,Lusaka,Lusaka,953,934,15132,9,20
2019-03-01,Lusaka,Rufunsa,107,5812,14220,NA,NA
2019-03-01,Muchinga,Chama,36,7915,18029,NA,NA
2019-03-01,Muchinga,Chinsali,119,6892,14488,NA,NA
2019-03-01,Muchinga,Isoka,116,4911,9876,NA,NA
2019-03-01,Muchinga,Kanchibiya,1101,4444,7153,NA,NA
2019-03-01,Muchinga,Lavushimanda,196,2900,4326,NA,NA
2019-03-01,Muchinga,Mafinga,NA,3426,7305,NA,NA
2019-03-01,Muchinga,Mpika,3,6172,11318,3698,5263
2019-03-01,Muchinga,Nakonde,7,1668,5724,0,6
2019-03-01,Muchinga,Shiwang'andu,9,5277,9145,NA,NA
2019-03-01,Northern,Chilubi,262,3718,5154,NA,NA
2019-03-01,Northern,Kaputa,5,1726,4708,NA,NA
2019-03-01,Northern,Kasama,NA,13344,21607,NA,NA
2019-03-01,Northern,Lunte,NA,2470,2913,NA,NA
2019-03-01,Northern,Lupososhi,13,2397,3925,NA,NA
2019-03-01,Northern,Luwingu,NA,4045,7625,NA,NA
2019-03-01,Northern,Mbala,1,3395,4720,445,1070
2019-03-01,Northern,Mporokoso,NA,1549,2798,NA,NA
2019-03-01,Northern,Mpulungu,NA,1342,4164,NA,NA
2019-03-01,Northern,Mungwi,NA,7740,12920,NA,NA
2019-03-01,Northern,Nsama,1,807,2546,NA,NA
2019-03-01,Northern,Senga,10,3978,7601,0,0
