region,zone,woreda,year,population
Somali,Shabelle,Aba-Korow,2020,29584
Somali,Shabelle,Aba-Korow,2018,27724
Somali,Shabelle,Aba-Korow,2019,28639
Somali,Shabelle,Aba-Korow,2021,30560
Somali,Shabelle,Aba-Korow,2022,31569
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2020,48069
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2018,45047
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2019,46533
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2021,49655
Afar,Zone 2 (Kilbet Rasu),Aba 'Ala,2022,51294
Oromia,Horo Gudru Wellega,Ababo,2020,62143
Oromia,Horo Gudru Wellega,Ababo,2018,58236
Oromia,Horo Gudru Wellega,Ababo,2019,60158
Oromia,Horo Gudru Wellega,Ababo,2021,64194
Oromia,Horo Gudru Wellega,Ababo,2022,66312
Harari,Harari,Abadir,2020,105799
Harari,Harari,Abadir,2018,99147
Harari,Harari,Abadir,2019,102419
Harari,Harari,Abadir,2021,109290
Harari,Harari,Abadir,2022,112897
Oromia,Horo Gudru Wellega,Abay Chomen,2020,67945
Oromia,Horo Gudru Wellega,Abay Chomen,2018,63673
Oromia,Horo Gudru Wellega,Abay Chomen,2019,65774
Oromia,Horo Gudru Wellega,Abay Chomen,2021,70187
Oromia,Horo Gudru Wellega,Abay Chomen,2022,72503
Oromia,West Guji,Abaya,2020,141495
Oromia,West Guji,Abaya,2018,132599
Oromia,West Guji,Abaya,2019,136975
Oromia,West Guji,Abaya,2021,146164
Oromia,West Guji,Abaya,2022,150988
Amhara,West Gondar,Abderafi Town,2020,25893
Amhara,West Gondar,Abderafi Town,2018,24265
Amhara,West Gondar,Abderafi Town,2019,25066
Amhara,West Gondar,Abderafi Town,2021,26747
Amhara,West Gondar,Abderafi Town,2022,27630
Oromia,Horo Gudru Wellega,Abe Dongoro,2020,91645
Oromia,Horo Gudru Wellega,Abe Dongoro,2018,85883
Oromia,Horo Gudru Wellega,Abe Dongoro,2019,88717
Oromia,Horo Gudru Wellega,Abe Dongoro,2021,94669
Oromia,Horo Gudru Wellega,Abe Dongoro,2022,97793
Amhara,Wag Hamra,Abergele,2020,49007
Amhara,Wag Hamra,Abergele,2018,45926
Amhara,Wag Hamra,Abergele,2019,47441
Amhara,Wag Hamra,Abergele,2021,50624
Amhara,Wag Hamra,Abergele,2022,52295
SNNP,Guraghe,Abeshege,2020,75336
SNNP,Guraghe,Abeshege,2018,70600
SNNP,Guraghe,Abeshege,2019,72929
SNNP,Guraghe,Abeshege,2021,77822
SNNP,Guraghe,Abeshege,2022,80390
Tigray,Central,Abi Adi Town,2020,27159
Tigray,Central,Abi Adi Town,2018,25451
Tigray,Central,Abi Adi Town,2019,26291
Tigray,Central,Abi Adi Town,2021,28055
Tigray,Central,Abi Adi Town,2022,28981
Oromia,North Shewa,Abichugna Gne'a,2020,102265
Oromia,North Shewa,Abichugna Gne'a,2018,95835
Oromia,North Shewa,Abichugna Gne'a,2019,98998
Oromia,North Shewa,Abichugna Gne'a,2021,105640
Oromia,North Shewa,Abichugna Gne'a,2022,109126
Gambela,Agnewak,Abobo,2020,23151
Gambela,Agnewak,Abobo,2018,21695
Gambela,Agnewak,Abobo,2019,22411
Gambela,Agnewak,Abobo,2021,23915
Gambela,Agnewak,Abobo,2022,24704
Harari,Harari,Aboker,2020,1540
Harari,Harari,Aboker,2018,1443
Harari,Harari,Aboker,2019,1491
Harari,Harari,Aboker,2021,1591
Harari,Harari,Aboker,2022,1643
Oromia,West Shewa,Abuna G/Beret,2020,149087
Oromia,West Shewa,Abuna G/Beret,2018,139714
Oromia,West Shewa,Abuna G/Beret,2019,144324
Oromia,West Shewa,Abuna G/Beret,2021,154007
Oromia,West Shewa,Abuna G/Beret,2022,159089
Oromia,East Shewa,Ada'a,2020,187954
Oromia,East Shewa,Ada'a,2018,176137
Oromia,East Shewa,Ada'a,2019,181950
Oromia,East Shewa,Ada'a,2021,194156
Oromia,East Shewa,Ada'a,2022,200564
Afar,Zone 1 (Awsi Rasu),Adaa'r,2020,59325
Afar,Zone 1 (Awsi Rasu),Adaa'r,2018,55595
Afar,Zone 1 (Awsi Rasu),Adaa'r,2019,57430
Afar,Zone 1 (Awsi Rasu),Adaa'r,2021,61283
Afar,Zone 1 (Awsi Rasu),Adaa'r,2022,63305
Oromia,West Arsi,Adaba,2020,192708
Oromia,West Arsi,Adaba,2018,180592
Oromia,West Arsi,Adaba,2019,186552
Oromia,West Arsi,Adaba,2021,199067
Oromia,West Arsi,Adaba,2022,205637
Somali,Shabelle,Adadle,2020,107239
Somali,Shabelle,Adadle,2018,100497
Somali,Shabelle,Adadle,2019,103813
Somali,Shabelle,Adadle,2021,110778
Somali,Shabelle,Adadle,2022,114434
Oromia,East Shewa,Adama,2020,198295
Oromia,East Shewa,Adama,2018,185828
Oromia,East Shewa,Adama,2019,191960
Oromia,East Shewa,Adama,2021,204839
Oromia,East Shewa,Adama,2022,211598
Oromia,East Shewa,Adama Town,2020,382528
Oromia,East Shewa,Adama Town,2018,358478
Oromia,East Shewa,Adama Town,2019,370308
Oromia,East Shewa,Adama Town,2021,395151
Oromia,East Shewa,Adama Town,2022,408191
Oromia,East Shewa,Adama Tulu Jido Kombolcha,2020,288328
Oromia,East Shewa,Adama Tulu Jido Kombolcha,2018,270201
Oromia,East Shewa,Adama Tulu Jido Kombolcha,2019,279117
Oromia,East Shewa,Adama Tulu Jido Kombolcha,2021,297843
Oromia,East Shewa,Adama Tulu Jido Kombolcha,2022,307672
Oromia,West Shewa,Adda Berga,2020,167796
Oromia,West Shewa,Adda Berga,2018,157246
Oromia,West Shewa,Adda Berga,2019,162436
Oromia,West Shewa,Adda Berga,2021,173333
Oromia,West Shewa,Adda Berga,2022,179053
Amhara,North Gondar,Addi Arekay,2020,112349
Amhara,North Gondar,Addi Arekay,2018,105286
Amhara,North Gondar,Addi Arekay,2019,108760
Amhara,North Gondar,Addi Arekay,2021,116057
Amhara,North Gondar,Addi Arekay,2022,119886
Addis Ababa,Region 14,Addis Ketema,2020,327842
Addis Ababa,Region 14,Addis Ketema,2018,307230
Addis Ababa,Region 14,Addis Ketema,2019,317369
Addis Ababa,Region 14,Addis Ketema,2021,338661
Addis Ababa,Region 14,Addis Ketema,2022,349837
Dire Dawa,Dire Dawa urban,Addis Ketema (Dire Dawa),2020,161366
Dire Dawa,Dire Dawa urban,Addis Ketema (Dire Dawa),2018,151221
Dire Dawa,Dire Dawa urban,Addis Ketema (Dire Dawa),2019,156211
Dire Dawa,Dire Dawa urban,Addis Ketema (Dire Dawa),2021,166691
Dire Dawa,Dire Dawa urban,Addis Ketema (Dire Dawa),2022,172192
Amhara,West Gojam,Adete Town,2020,32854
Amhara,West Gojam,Adete Town,2018,30788
Amhara,West Gojam,Adete Town,2019,31804
Amhara,West Gojam,Adete Town,2021,33938
Amhara,West Gojam,Adete Town,2022,35058
Tigray,Mekele Special,Adhaki,2020,53319
Tigray,Mekele Special,Adhaki,2018,49967
Tigray,Mekele Special,Adhaki,2019,51616
Tigray,Mekele Special,Adhaki,2021,55079
Tigray,Mekele Special,Adhaki,2022,56896
Tigray,Eastern,Adigrat Town,2020,96604
Tigray,Eastern,Adigrat Town,2018,90530
Tigray,Eastern,Adigrat Town,2019,93518
Tigray,Eastern,Adigrat Town,2021,99792
Tigray,Eastern,Adigrat Town,2022,103085
Amhara,South Gondar,Adisezemen Town,2020,37787
Amhara,South Gondar,Adisezemen Town,2018,35411
Amhara,South Gondar,Adisezemen Town,2019,36580
Amhara,South Gondar,Adisezemen Town,2021,39034
Amhara,South Gondar,Adisezemen Town,2022,40322
Oromia,Guji,Adola,2020,150713
Oromia,Guji,Adola,2018,141238
Oromia,Guji,Adola,2019,145898
Oromia,Guji,Adola,2021,155687
Oromia,Guji,Adola,2022,160824
Oromia,Guji,Adola Town,2020,36794
Oromia,Guji,Adola Town,2018,34481
Oromia,Guji,Adola Town,2019,35619
Oromia,Guji,Adola Town,2021,38008
Oromia,Guji,Adola Town,2022,39262
Tigray,Central,Adwa,2020,111893
Tigray,Central,Adwa,2018,104858
Tigray,Central,Adwa,2019,108318
Tigray,Central,Adwa,2021,115585
Tigray,Central,Adwa,2022,119400
Tigray,Central,Adwa Town,2020,67941
Tigray,Central,Adwa Town,2018,63669
Tigray,Central,Adwa Town,2019,65771
Tigray,Central,Adwa Town,2021,70183
Tigray,Central,Adwa Town,2022,72499
Afar,Zone 1 (Awsi Rasu),Afambo,2020,27062
Afar,Zone 1 (Awsi Rasu),Afambo,2018,25361
Afar,Zone 1 (Awsi Rasu),Afambo,2019,26197
Afar,Zone 1 (Awsi Rasu),Afambo,2021,27955
Afar,Zone 1 (Awsi Rasu),Afambo,2022,28878
Somali,Siti,Afdem,2020,73236
Somali,Siti,Afdem,2018,68632
Somali,Siti,Afdem,2019,70896
Somali,Siti,Afdem,2021,75653
Somali,Siti,Afdem,2022,78149
Afar,Zone 2 (Kilbet Rasu),Afdera,2020,37646
Afar,Zone 2 (Kilbet Rasu),Afdera,2018,35279
Afar,Zone 2 (Kilbet Rasu),Afdera,2019,36443
Afar,Zone 2 (Kilbet Rasu),Afdera,2021,38888
Afar,Zone 2 (Kilbet Rasu),Afdera,2022,40172
Oromia,Guji,Afele Kola (Dima),2020,86070
Oromia,Guji,Afele Kola (Dima),2018,80659
Oromia,Guji,Afele Kola (Dima),2019,83320
Oromia,Guji,Afele Kola (Dima),2021,88910
Oromia,Guji,Afele Kola (Dima),2022,91844
Oromia,Guji,Aga Wayu,2020,42241
Oromia,Guji,Aga Wayu,2018,39585
Oromia,Guji,Aga Wayu,2019,40892
Oromia,Guji,Aga Wayu,2021,43635
Oromia,Guji,Aga Wayu,2022,45075
Benishangul Gumz,Kemashi,Agalometi,2020,32573
Benishangul Gumz,Kemashi,Agalometi,2018,30525
Benishangul Gumz,Kemashi,Agalometi,2019,31532
Benishangul Gumz,Kemashi,Agalometi,2021,33648
Benishangul Gumz,Kemashi,Agalometi,2022,34758
Oromia,Bale,Agarfa,2020,141863
Oromia,Bale,Agarfa,2018,132944
Oromia,Bale,Agarfa,2019,137331
Oromia,Bale,Agarfa,2021,146544
Oromia,Bale,Agarfa,2022,151380
Oromia,Jimma,Agaro Town,2020,40837
Oromia,Jimma,Agaro Town,2018,38270
Oromia,Jimma,Agaro Town,2019,39532
Oromia,Jimma,Agaro Town,2021,42185
Oromia,Jimma,Agaro Town,2022,43577
Tigray,Central,Aheferom,2020,208002
Tigray,Central,Aheferom,2018,194925
Tigray,Central,Aheferom,2019,201357
Tigray,Central,Aheferom,2021,214866
Tigray,Central,Aheferom,2022,221957
Oromia,Finfine Special,Akaki,2020,84180
Oromia,Finfine Special,Akaki,2018,78888
Oromia,Finfine Special,Akaki,2019,81491
Oromia,Finfine Special,Akaki,2021,86958
Oromia,Finfine Special,Akaki,2022,89828
Addis Ababa,Region 14,Akaki - Kalit,2020,234809
Addis Ababa,Region 14,Akaki - Kalit,2018,220046
Addis Ababa,Region 14,Akaki - Kalit,2019,227308
Addis Ababa,Region 14,Akaki - Kalit,2021,242558
Addis Ababa,Region 14,Akaki - Kalit,2022,250562
Gambela,Nuwer,Akobo,2020,32437
Gambela,Nuwer,Akobo,2018,30398
Gambela,Nuwer,Akobo,2019,31401
Gambela,Nuwer,Akobo,2021,33507
Gambela,Nuwer,Akobo,2022,34613
Tigray,Southern,Alage,2020,129909
Tigray,Southern,Alage,2018,121741
Tigray,Southern,Alage,2019,125759
Tigray,Southern,Alage,2021,134196
Tigray,Southern,Alage,2022,138624
Tigray,Southern,Alamata,2020,98378
Tigray,Southern,Alamata,2018,92193
Tigray,Southern,Alamata,2019,95235
Tigray,Southern,Alamata,2021,101624
Tigray,Southern,Alamata,2022,104978
Tigray,Southern,Alamata Town,2020,55873
Tigray,Southern,Alamata Town,2018,52360
Tigray,Southern,Alamata Town,2019,54088
Tigray,Southern,Alamata Town,2021,57717
Tigray,Southern,Alamata Town,2022,59621
Amhara,South Wello,Albuko,2020,89558
Amhara,South Wello,Albuko,2018,83927
Amhara,South Wello,Albuko,2019,86697
Amhara,South Wello,Albuko,2021,92513
Amhara,South Wello,Albuko,2022,95566
Oromia,Ilu Aba Bora,Ale,2020,73086
Oromia,Ilu Aba Bora,Ale,2018,68491
Oromia,Ilu Aba Bora,Ale,2019,70751
Oromia,Ilu Aba Bora,Ale,2021,75498
Oromia,Ilu Aba Bora,Ale,2022,77989
Oromia,North Shewa,Aleltu,2020,73496
Oromia,North Shewa,Aleltu,2018,68875
Oromia,North Shewa,Aleltu,2019,71148
Oromia,North Shewa,Aleltu,2021,75921
Oromia,North Shewa,Aleltu,2022,78427
Amhara,North Shewa,Aleme Ketma,2020,22460
Amhara,North Shewa,Aleme Ketma,2018,21048
Amhara,North Shewa,Aleme Ketma,2019,21742
Amhara,North Shewa,Aleme Ketma,2021,23201
Amhara,North Shewa,Aleme Ketma,2022,23967
SNNP,Sidama,Aleta Wendo,2020,176485
SNNP,Sidama,Aleta Wendo,2018,165389
SNNP,Sidama,Aleta Wendo,2019,170847
SNNP,Sidama,Aleta Wendo,2021,182309
SNNP,Sidama,Aleta Wendo,2022,188325
SNNP,Sidama,Aleta Wondo Town,2020,55760
SNNP,Sidama,Aleta Wondo Town,2018,52254
SNNP,Sidama,Aleta Wondo Town,2019,53979
SNNP,Sidama,Aleta Wondo Town,2021,57600
SNNP,Sidama,Aleta Wondo Town,2022,59501
Amhara,Central Gondar,Alfa,2020,224316
Amhara,Central Gondar,Alfa,2018,210213
Amhara,Central Gondar,Alfa,2019,217150
Amhara,Central Gondar,Alfa,2021,231718
Amhara,Central Gondar,Alfa,2022,239365
Oromia,Ilu Aba Bora,Alge Sachi,2020,105864
Oromia,Ilu Aba Bora,Alge Sachi,2018,99208
Oromia,Ilu Aba Bora,Alge Sachi,2019,102482
Oromia,Ilu Aba Bora,Alge Sachi,2021,109358
Oromia,Ilu Aba Bora,Alge Sachi,2022,112966
SNNP,Siltie,Alicho Woriro,2020,122383
SNNP,Siltie,Alicho Woriro,2018,114689
SNNP,Siltie,Alicho Woriro,2019,118473
SNNP,Siltie,Alicho Woriro,2021,126422
SNNP,Siltie,Alicho Woriro,2022,130594
SNNP,Alle,Alle Special,2020,81190
SNNP,Alle,Alle Special,2018,76085
SNNP,Alle,Alle Special,2019,78596
SNNP,Alle,Alle Special,2021,83869
SNNP,Alle,Alle Special,2022,86637
SNNP,Amaro,Amaro,2020,195252
SNNP,Amaro,Amaro,2018,182976
SNNP,Amaro,Amaro,2019,189015
SNNP,Amaro,Amaro,2021,201695
SNNP,Amaro,Amaro,2022,208351
Amhara,South Wello,Ambasel,2020,141716
Amhara,South Wello,Ambasel,2018,132806
Amhara,South Wello,Ambasel,2019,137189
Amhara,South Wello,Ambasel,2021,146393
Amhara,South Wello,Ambasel,2022,151224
Oromia,West Shewa,Ambo Town,2020,138002
Oromia,West Shewa,Ambo Town,2018,129326
Oromia,West Shewa,Ambo Town,2019,133593
Oromia,West Shewa,Ambo Town,2021,142556
Oromia,West Shewa,Ambo Town,2022,147260
Oromia,West Shewa,Ambo Zuria,2020,136869
Oromia,West Shewa,Ambo Zuria,2018,128264
Oromia,West Shewa,Ambo Zuria,2019,132497
Oromia,West Shewa,Ambo Zuria,2021,141386
Oromia,West Shewa,Ambo Zuria,2022,146051
Oromia,South West Shewa,Ameya,2020,167320
Oromia,South West Shewa,Ameya,2018,156800
Oromia,South West Shewa,Ameya,2019,161975
Oromia,South West Shewa,Ameya,2021,172842
Oromia,South West Shewa,Ameya,2022,178545
Afar,Zone 3 (Gabi Rasu),Amibara,2020,87054
Afar,Zone 3 (Gabi Rasu),Amibara,2018,81581
Afar,Zone 3 (Gabi Rasu),Amibara,2019,84273
Afar,Zone 3 (Gabi Rasu),Amibara,2021,89927
Afar,Zone 3 (Gabi Rasu),Amibara,2022,92894
Oromia,Arsi,Amigna,2020,101064
Oromia,Arsi,Amigna,2018,94710
Oromia,Arsi,Amigna,2019,97835
Oromia,Arsi,Amigna,2021,104399
Oromia,Arsi,Amigna,2022,107844
Harari,Harari,Amir Nur,2020,626
Harari,Harari,Amir Nur,2018,587
Harari,Harari,Amir Nur,2019,606
Harari,Harari,Amir Nur,2021,647
Harari,Harari,Amir Nur,2022,668
Oromia,Horo Gudru Wellega,Amuru,2020,74255
Oromia,Horo Gudru Wellega,Amuru,2018,69587
Oromia,Horo Gudru Wellega,Amuru,2019,71883
Oromia,Horo Gudru Wellega,Amuru,2021,76705
Oromia,Horo Gudru Wellega,Amuru,2022,79237
Oromia,Guji,Ana Sora,2020,124862
Oromia,Guji,Ana Sora,2018,117012
Oromia,Guji,Ana Sora,2019,120873
Oromia,Guji,Ana Sora,2021,128982
Oromia,Guji,Ana Sora,2022,133239
SNNP,Hadiya,Analemmo,2020,89704
SNNP,Hadiya,Analemmo,2018,84064
SNNP,Hadiya,Analemmo,2019,86838
SNNP,Hadiya,Analemmo,2021,92664
SNNP,Hadiya,Analemmo,2022,95722
Oromia,West Hararge,Anchar,2020,113283
Oromia,West Hararge,Anchar,2018,106161
Oromia,West Hararge,Anchar,2019,109664
Oromia,West Hararge,Anchar,2021,117021
Oromia,West Hararge,Anchar,2022,120883
SNNP,Sheka,Anderacha,2020,31788
SNNP,Sheka,Anderacha,2018,29789
SNNP,Sheka,Anderacha,2019,30773
SNNP,Sheka,Anderacha,2021,32837
SNNP,Sheka,Anderacha,2022,33921
Amhara,East Gojam,Aneded,2020,104538
Amhara,East Gojam,Aneded,2018,97966
Amhara,East Gojam,Aneded,2019,101198
Amhara,East Gojam,Aneded,2021,107988
Amhara,East Gojam,Aneded,2022,111551
Oromia,Kelem Wellega,Anfilo,2020,107438
Oromia,Kelem Wellega,Anfilo,2018,100683
Oromia,Kelem Wellega,Anfilo,2019,104006
Oromia,Kelem Wellega,Anfilo,2021,110983
Oromia,Kelem Wellega,Anfilo,2022,114646
Amhara,North Shewa,Angolelana Tera,2020,96680
Amhara,North Shewa,Angolelana Tera,2018,90602
Amhara,North Shewa,Angolelana Tera,2019,93591
Amhara,North Shewa,Angolelana Tera,2021,99870
Amhara,North Shewa,Angolelana Tera,2022,103166
Amhara,North Wello,Angot,2020,78681
Amhara,North Wello,Angot,2018,73734
Amhara,North Wello,Angot,2019,76167
Amhara,North Wello,Angot,2021,81277
Amhara,North Wello,Angot,2022,83960
SNNP,Kembata Tibaro,Anigacha,2020,115895
SNNP,Kembata Tibaro,Anigacha,2018,108609
SNNP,Kembata Tibaro,Anigacha,2019,112193
SNNP,Kembata Tibaro,Anigacha,2021,119720
SNNP,Kembata Tibaro,Anigacha,2022,123670
Amhara,Awi,Ankasha,2020,118882
Amhara,Awi,Ankasha,2018,111408
Amhara,Awi,Ankasha,2019,115084
Amhara,Awi,Ankasha,2021,122805
Amhara,Awi,Ankasha,2022,126858
Amhara,North Shewa,Ankober,2020,89342
Amhara,North Shewa,Ankober,2018,83725
Amhara,North Shewa,Ankober,2019,86488
Amhara,North Shewa,Ankober,2021,92290
Amhara,North Shewa,Ankober,2022,95336
Amhara,North Shewa,Antsokiya,2020,97001
Amhara,North Shewa,Antsokiya,2018,90902
Amhara,North Shewa,Antsokiya,2019,93902
Amhara,North Shewa,Antsokiya,2021,100202
Amhara,North Shewa,Antsokiya,2022,103509
Addis Ababa,Region 14,Arada,2020,271594
Addis Ababa,Region 14,Arada,2018,254519
Addis Ababa,Region 14,Arada,2019,262918
Addis Ababa,Region 14,Arada,2021,280557
Addis Ababa,Region 14,Arada,2022,289815
Somali,Jarar,Ararso,2020,39169
Somali,Jarar,Ararso,2018,36706
Somali,Jarar,Ararso,2019,37918
Somali,Jarar,Ararso,2021,40462
Somali,Jarar,Ararso,2022,41797
SNNP,Gamo,Arba Minch Town,2020,158925
SNNP,Gamo,Arba Minch Town,2018,148933
SNNP,Gamo,Arba Minch Town,2019,153848
SNNP,Gamo,Arba Minch Town,2021,164170
SNNP,Gamo,Arba Minch Town,2022,169587
SNNP,Gamo,Arba Minch Zuria,2020,126576
SNNP,Gamo,Arba Minch Zuria,2018,118618
SNNP,Gamo,Arba Minch Zuria,2019,122532
SNNP,Gamo,Arba Minch Zuria,2021,130753
SNNP,Gamo,Arba Minch Zuria,2022,135068
SNNP,Sidama,Arbe Gonna,2020,128822
SNNP,Sidama,Arbe Gonna,2018,120723
SNNP,Sidama,Arbe Gonna,2019,124707
SNNP,Sidama,Arbe Gonna,2021,133073
SNNP,Sidama,Arbe Gonna,2022,137465
SNNP,Wolayita,Areka Town,2020,64359
SNNP,Wolayita,Areka Town,2018,60313
SNNP,Wolayita,Areka Town,2019,62303
SNNP,Wolayita,Areka Town,2021,66483
SNNP,Wolayita,Areka Town,2022,68677
SNNP,Guraghe,Areket Town,2020,2797
SNNP,Guraghe,Areket Town,2018,2621
SNNP,Guraghe,Areket Town,2019,2708
SNNP,Guraghe,Areket Town,2021,2889
SNNP,Guraghe,Areket Town,2022,2985
Oromia,Borena,Arero,2020,48583
Oromia,Borena,Arero,2018,45529
Oromia,Borena,Arero,2019,47031
Oromia,Borena,Arero,2021,50186
Oromia,Borena,Arero,2022,51842
Amhara,South Wello,Argoba,2020,39712
Amhara,South Wello,Argoba,2018,37215
Amhara,South Wello,Argoba,2019,38443
Amhara,South Wello,Argoba,2021,41022
Amhara,South Wello,Argoba,2022,42376
Afar,Zone 3 (Gabi Rasu),Arguba Special,2020,25307
Afar,Zone 3 (Gabi Rasu),Arguba Special,2018,23716
Afar,Zone 3 (Gabi Rasu),Arguba Special,2019,24499
Afar,Zone 3 (Gabi Rasu),Arguba Special,2021,26142
Afar,Zone 3 (Gabi Rasu),Arguba Special,2022,27005
SNNP,Sidama,Aroresa,2020,107115
SNNP,Sidama,Aroresa,2018,100381
SNNP,Sidama,Aroresa,2019,103693
SNNP,Sidama,Aroresa,2021,110650
SNNP,Sidama,Aroresa,2022,114301
Oromia,West Arsi,Arsi Negele,2020,244109
Oromia,West Arsi,Arsi Negele,2018,228762
Oromia,West Arsi,Arsi Negele,2019,236311
Oromia,West Arsi,Arsi Negele,2021,252165
Oromia,West Arsi,Arsi Negele,2022,260486
Oromia,West Arsi,Arsi Negele Town,2020,98138
Oromia,West Arsi,Arsi Negele Town,2018,91968
Oromia,West Arsi,Arsi Negele Town,2019,95003
Oromia,West Arsi,Arsi Negele Town,2021,101377
Oromia,West Arsi,Arsi Negele Town,2022,104722
Amhara,Oromia,Artuma Fursi,2020,100709
Amhara,Oromia,Artuma Fursi,2018,94377
Amhara,Oromia,Artuma Fursi,2019,97492
Amhara,Oromia,Artuma Fursi,2021,104032
Amhara,Oromia,Artuma Fursi,2022,107465
Afar,Zone 1 (Awsi Rasu),Asayita,2020,65739
Afar,Zone 1 (Awsi Rasu),Asayita,2018,61606
Afar,Zone 1 (Awsi Rasu),Asayita,2019,63639
Afar,Zone 1 (Awsi Rasu),Asayita,2021,67908
Afar,Zone 1 (Awsi Rasu),Asayita,2022,70149
Oromia,Arsi,Aseko,2020,116100
Oromia,Arsi,Aseko,2018,108801
Oromia,Arsi,Aseko,2019,112391
Oromia,Arsi,Aseko,2021,119931
Oromia,Arsi,Aseko,2022,123889
Oromia,Arsi,Asela Town,2020,107904
Oromia,Arsi,Asela Town,2018,101120
Oromia,Arsi,Asela Town,2019,104457
Oromia,Arsi,Asela Town,2021,111465
Oromia,Arsi,Asela Town,2022,115143
Dire Dawa,Dire Dawa rural,Aseliso,2020,67673
Dire Dawa,Dire Dawa rural,Aseliso,2018,63418
Dire Dawa,Dire Dawa rural,Aseliso,2019,65511
Dire Dawa,Dire Dawa rural,Aseliso,2021,69906
Dire Dawa,Dire Dawa rural,Aseliso,2022,72213
Tigray,North Western,Asgede Tsimbila,2020,162416
Tigray,North Western,Asgede Tsimbila,2018,152205
Tigray,North Western,Asgede Tsimbila,2019,157227
Tigray,North Western,Asgede Tsimbila,2021,167776
Tigray,North Western,Asgede Tsimbila,2022,173312
Amhara,North Shewa,Assagirt,2020,55623
Amhara,North Shewa,Assagirt,2018,52126
Amhara,North Shewa,Assagirt,2019,53846
Amhara,North Shewa,Assagirt,2021,57459
Amhara,North Shewa,Assagirt,2022,59355
Benishangul Gumz,Asosa,Assosa,2020,106908
Benishangul Gumz,Asosa,Assosa,2018,100187
Benishangul Gumz,Asosa,Assosa,2019,103493
Benishangul Gumz,Asosa,Assosa,2021,110436
Benishangul Gumz,Asosa,Assosa,2022,114080
Amhara,North Shewa,Ataye Town,2020,26258
Amhara,North Shewa,Ataye Town,2018,24607
Amhara,North Shewa,Ataye Town,2019,25419
Amhara,North Shewa,Ataye Town,2021,27125
Amhara,North Shewa,Ataye Town,2022,28020
SNNP,Halaba Special,Atote Ulo,2020,73312
SNNP,Halaba Special,Atote Ulo,2018,68703
SNNP,Halaba Special,Atote Ulo,2019,70970
SNNP,Halaba Special,Atote Ulo,2021,75731
SNNP,Halaba Special,Atote Ulo,2022,78230
Tigray,Eastern,Atsbi Wenberta,2020,132280
Tigray,Eastern,Atsbi Wenberta,2018,123963
Tigray,Eastern,Atsbi Wenberta,2019,128054
Tigray,Eastern,Atsbi Wenberta,2021,136645
Tigray,Eastern,Atsbi Wenberta,2022,141155
Somali,Fafan,Aw-Bare,2020,307084
Somali,Fafan,Aw-Bare,2018,287777
Somali,Fafan,Aw-Bare,2019,297274
Somali,Fafan,Aw-Bare,2021,317218
Somali,Fafan,Aw-Bare,2022,327686
Amhara,East Gojam,Awabel,2020,144827
Amhara,East Gojam,Awabel,2018,135722
Amhara,East Gojam,Awabel,2019,140200
Amhara,East Gojam,Awabel,2021,149606
Amhara,East Gojam,Awabel,2022,154543
Somali,Jarar,Aware,2020,42614
Somali,Jarar,Aware,2018,39935
Somali,Jarar,Aware,2019,41253
Somali,Jarar,Aware,2021,44020
Somali,Jarar,Aware,2022,45473
Afar,Zone 3 (Gabi Rasu),Awash City,2020,29375
Afar,Zone 3 (Gabi Rasu),Awash City,2018,27528
Afar,Zone 3 (Gabi Rasu),Awash City,2019,28437
Afar,Zone 3 (Gabi Rasu),Awash City,2021,30344
Afar,Zone 3 (Gabi Rasu),Awash City,2022,31346
Afar,Zone 3 (Gabi Rasu),Awash Fentale,2020,43114
Afar,Zone 3 (Gabi Rasu),Awash Fentale,2018,40403
Afar,Zone 3 (Gabi Rasu),Awash Fentale,2019,41737
Afar,Zone 3 (Gabi Rasu),Awash Fentale,2021,44537
Afar,Zone 3 (Gabi Rasu),Awash Fentale,2022,46006
Oromia,East Hararge,Aweday Town,2020,12329
Oromia,East Hararge,Aweday Town,2018,11554
Oromia,East Hararge,Aweday Town,2019,11935
Oromia,East Hararge,Aweday Town,2021,12736
Oromia,East Hararge,Aweday Town,2022,13156
Afar,Zone 4 (Fantana Rasu),Awra,2020,39065
Afar,Zone 4 (Fantana Rasu),Awra,2018,36609
Afar,Zone 4 (Fantana Rasu),Awra,2019,37817
Afar,Zone 4 (Fantana Rasu),Awra,2021,40354
Afar,Zone 4 (Fantana Rasu),Awra,2022,41686
Tigray,Central,Axum Town,2020,74973
Tigray,Central,Axum Town,2018,70259
Tigray,Central,Axum Town,2019,72578
Tigray,Central,Axum Town,2021,77447
Tigray,Central,Axum Town,2022,80003
Tigray,Mekele Special,Ayder,2020,55805
Tigray,Mekele Special,Ayder,2018,52296
Tigray,Mekele Special,Ayder,2019,54022
Tigray,Mekele Special,Ayder,2021,57647
Tigray,Mekele Special,Ayder,2022,59549
Amhara,Awi,Ayehu Guwagusa,2020,117399
Amhara,Awi,Ayehu Guwagusa,2018,110018
Amhara,Awi,Ayehu Guwagusa,2019,113649
Amhara,Awi,Ayehu Guwagusa,2021,121273
Amhara,Awi,Ayehu Guwagusa,2022,125275
